iter	F1:class=0_TP	F1:class=0_TP+FP	F1:class=0_TP+FN	F1:class=1_TP	F1:class=1_TP+FP	F1:class=1_TP+FN
0	50255	50713	50255	0	0	458
1	50255	50713	50255	0	0	458
2	50255	50713	50255	0	0	458
3	50255	50713	50255	0	0	458
4	50255	50713	50255	0	0	458
5	50255	50713	50255	0	0	458
6	50255	50713	50255	0	0	458
7	50255	50713	50255	0	0	458
8	50255	50713	50255	0	0	458
9	50255	50713	50255	0	0	458
10	50255	50713	50255	0	0	458
11	50255	50713	50255	0	0	458
12	50255	50713	50255	0	0	458
13	50255	50713	50255	0	0	458
14	50255	50713	50255	0	0	458
15	50255	50713	50255	0	0	458
16	50255	50713	50255	0	0	458
17	50255	50713	50255	0	0	458
18	50255	50713	50255	0	0	458
19	50255	50713	50255	0	0	458
20	50255	50713	50255	0	0	458
21	50255	50713	50255	0	0	458
22	50255	50713	50255	0	0	458
23	50255	50713	50255	0	0	458
24	50255	50702	50255	11	11	458
25	50255	50702	50255	11	11	458
26	50255	50702	50255	11	11	458
27	50255	50701	50255	12	12	458
28	50255	50701	50255	12	12	458
29	50255	50689	50255	24	24	458
30	50255	50687	50255	26	26	458
31	50255	50679	50255	34	34	458
32	50255	50680	50255	33	33	458
33	50255	50681	50255	32	32	458
34	50255	50685	50255	28	28	458
35	50255	50690	50255	23	23	458
36	50255	50691	50255	22	22	458
37	50255	50684	50255	29	29	458
38	50255	50684	50255	29	29	458
39	50255	50684	50255	29	29	458
40	50255	50684	50255	29	29	458
41	50255	50679	50255	34	34	458
42	50255	50679	50255	34	34	458
43	50255	50675	50255	38	38	458
44	50253	50666	50255	45	47	458
45	50253	50668	50255	43	45	458
46	50253	50666	50255	45	47	458
47	50253	50664	50255	47	49	458
48	50252	50655	50255	55	58	458
49	50252	50655	50255	55	58	458
50	50252	50654	50255	56	59	458
51	50252	50652	50255	58	61	458
52	50252	50652	50255	58	61	458
53	50252	50652	50255	58	61	458
54	50252	50652	50255	58	61	458
55	50249	50646	50255	61	67	458
56	50249	50646	50255	61	67	458
57	50248	50645	50255	61	68	458
58	50248	50646	50255	60	67	458
59	50248	50646	50255	60	67	458
60	50248	50642	50255	64	71	458
61	50248	50642	50255	64	71	458
62	50248	50643	50255	63	70	458
63	50248	50641	50255	65	72	458
64	50248	50641	50255	65	72	458
65	50248	50640	50255	66	73	458
66	50248	50639	50255	67	74	458
67	50248	50632	50255	74	81	458
68	50247	50630	50255	75	83	458
69	50243	50625	50255	76	88	458
70	50243	50624	50255	77	89	458
71	50243	50621	50255	80	92	458
72	50243	50621	50255	80	92	458
73	50243	50615	50255	86	98	458
74	50243	50615	50255	86	98	458
75	50243	50613	50255	88	100	458
76	50243	50611	50255	90	102	458
77	50243	50606	50255	95	107	458
78	50243	50607	50255	94	106	458
79	50243	50605	50255	96	108	458
80	50242	50601	50255	99	112	458
81	50241	50596	50255	103	117	458
82	50239	50594	50255	103	119	458
83	50239	50594	50255	103	119	458
84	50239	50594	50255	103	119	458
85	50240	50591	50255	107	122	458
86	50240	50591	50255	107	122	458
87	50240	50585	50255	113	128	458
88	50240	50584	50255	114	129	458
89	50240	50582	50255	116	131	458
90	50240	50582	50255	116	131	458
91	50239	50578	50255	119	135	458
92	50239	50578	50255	119	135	458
93	50239	50576	50255	121	137	458
94	50239	50576	50255	121	137	458
95	50238	50574	50255	122	139	458
96	50237	50571	50255	124	142	458
97	50237	50572	50255	123	141	458
98	50236	50571	50255	123	142	458
99	50236	50570	50255	124	143	458
100	50236	50568	50255	126	145	458
101	50237	50570	50255	125	143	458
102	50237	50567	50255	128	146	458
103	50237	50567	50255	128	146	458
104	50237	50566	50255	129	147	458
105	50237	50565	50255	130	148	458
106	50237	50562	50255	133	151	458
107	50235	50559	50255	134	154	458
108	50236	50563	50255	131	150	458
109	50236	50563	50255	131	150	458
110	50236	50560	50255	134	153	458
111	50236	50559	50255	135	154	458
112	50236	50557	50255	137	156	458
113	50236	50556	50255	138	157	458
