iter	Passed	Remaining
0	105	52705
1	220	54887
2	304	50393
3	373	46325
4	456	45236
5	539	44421
6	614	43304
7	688	42323
8	777	42420
9	844	41376
10	921	40974
11	993	40394
12	1065	39905
13	1145	39763
14	1222	39522
15	1296	39207
16	1367	38841
17	1438	38520
18	1510	38241
19	1581	37945
20	1661	37908
21	1740	37807
22	1816	37662
23	1891	37521
24	1967	37375
25	2031	37027
26	2112	37015
27	2186	36863
28	2252	36581
29	2330	36517
30	2400	36319
31	2465	36052
32	2524	35732
33	2584	35422
34	2653	35247
35	2716	35013
36	2788	34888
37	2851	34663
38	2916	34478
39	2993	34420
40	3062	34288
41	3128	34115
42	3198	33988
43	3262	33815
44	3325	33620
45	3391	33473
46	3452	33277
47	3512	33074
48	3578	32940
49	3630	32677
50	3696	32544
51	3748	32294
52	3806	32099
53	3873	31989
54	3948	31945
55	4015	31833
56	4076	31682
57	4143	31573
58	4196	31365
59	4270	31316
60	4337	31214
61	4400	31086
62	4474	31040
63	4533	30882
64	4586	30693
65	4648	30567
66	4701	30386
67	4761	30252
68	4818	30100
69	4873	29934
70	4930	29791
71	4981	29612
72	5038	29474
73	5108	29408
74	5165	29272
75	5219	29120
76	5286	29041
77	5347	28930
78	5417	28869
79	5471	28726
80	5544	28679
81	5610	28600
82	5670	28486
83	5726	28361
84	5780	28224
85	5838	28106
86	5904	28029
87	5975	27977
88	6041	27897
89	6088	27735
90	6142	27605
91	6207	27529
92	6278	27476
93	6347	27414
94	6399	27280
95	6465	27207
96	6512	27057
97	6569	26950
98	6627	26846
99	6695	26783
100	6753	26681
101	6816	26597
102	6881	26524
103	6962	26510
104	7012	26381
105	7068	26274
106	7124	26167
107	7194	26114
108	7248	26002
109	7316	25938
110	7376	25849
111	7448	25803
112	7511	25724
113	7562	25606
114	7629	25543
115	7699	25486
116	7762	25409
117	7818	25311
118	7885	25245
119	7943	25152
120	7994	25040
121	8042	24918
122	8099	24824
123	8149	24711
124	8222	24667
125	8277	24568
126	8348	24519
127	8415	24456
128	8461	24335
129	8524	24263
130	8577	24162
131	8632	24067
132	8689	23976
133	8749	23898
134	8801	23795
135	8865	23727
136	8924	23647
137	8978	23551
138	9038	23473
139	9101	23403
140	9161	23326
141	9218	23239
142	9265	23132
143	9317	23034
144	9363	22924
145	9419	22838
146	9483	22772
147	9551	22718
148	9615	22651
149	9676	22577
150	9734	22499
151	9790	22414
152	9853	22347
153	9899	22241
154	9959	22168
155	10004	22061
156	10062	21984
157	10133	21934
158	10192	21858
159	10271	21826
160	10337	21766
161	10389	21676
162	10452	21611
163	10505	21524
164	10572	21464
165	10625	21378
166	10683	21302
167	10753	21250
168	10823	21198
169	10886	21133
170	10947	21062
171	11001	20979
172	11063	20912
173	11117	20830
174	11172	20748
175	11246	20704
176	11306	20633
177	11370	20568
178	11426	20490
179	11484	20417
180	11551	20357
181	11603	20275
182	11668	20212
183	11733	20150
184	11786	20069
185	11847	19999
186	11893	19907
187	11956	19843
188	12007	19758
189	12059	19676
190	12102	19580
191	12163	19511
192	12219	19437
193	12280	19369
194	12352	19320
195	12405	19241
196	12467	19176
197	12518	19094
198	12577	19023
199	12634	18951
200	12690	18878
201	12762	18827
202	12808	18739
203	12861	18662
204	12917	18589
205	12983	18529
206	13044	18464
207	13092	18380
208	13139	18295
209	13184	18207
210	13254	18154
211	13310	18082
212	13375	18021
213	13444	17968
214	13492	17886
215	13560	17829
216	13622	17765
217	13684	17701
218	13745	17636
219	13802	17566
220	13862	17500
221	13922	17434
222	13970	17353
223	14025	17280
224	14104	17238
225	14154	17160
226	14217	17097
227	14271	17025
228	14325	16952
229	14384	16886
230	14440	16815
231	14487	16735
232	14549	16672
233	14606	16603
234	14679	16554
235	14724	16471
236	14786	16408
237	14851	16348
238	14899	16270
239	14969	16216
240	15018	16140
241	15082	16079
242	15137	16009
243	15206	15954
244	15274	15897
245	15339	15838
246	15405	15779
247	15459	15708
248	15525	15650
249	15579	15579
250	15640	15515
251	15697	15448
252	15748	15374
253	15806	15308
254	15857	15235
255	15920	15174
256	15987	15117
257	16038	15043
258	16107	14988
259	16173	14928
260	16237	14869
261	16292	14799
262	16350	14733
263	16419	14678
264	16482	14616
265	16534	14545
266	16593	14480
267	16648	14412
268	16709	14349
269	16780	14294
270	16836	14227
271	16894	14161
272	16946	14091
273	17002	14023
274	17066	13963
275	17124	13898
276	17179	13830
277	17232	13760
278	17301	13704
279	17362	13641
280	17427	13582
281	17486	13517
282	17549	13456
283	17603	13388
284	17667	13328
285	17736	13271
286	17806	13215
287	17873	13156
288	17935	13095
289	17999	13034
290	18061	12971
291	18115	12904
292	18178	12842
293	18244	12783
294	18308	12722
295	18357	12652
296	18418	12589
297	18470	12520
298	18535	12460
299	18584	12389
300	18636	12321
301	18697	12258
302	18756	12194
303	18810	12127
304	18863	12060
305	18928	12000
306	18987	11936
307	19039	11868
308	19107	11810
309	19159	11742
310	19214	11676
311	19265	11608
312	19329	11548
313	19384	11482
314	19452	11424
315	19524	11368
316	19569	11297
317	19633	11236
318	19698	11176
319	19767	11119
320	19820	11052
321	19876	10987
322	19925	10919
323	19970	10848
324	20032	10786
325	20096	10726
326	20158	10665
327	20216	10601
328	20289	10545
329	20341	10478
330	20405	10418
331	20457	10351
332	20521	10291
333	20580	10228
334	20625	10158
335	20683	10095
336	20731	10027
337	20792	9965
338	20857	9905
339	20917	9843
340	20976	9780
341	21042	9721
342	21123	9668
343	21189	9609
344	21237	9541
345	21296	9478
346	21358	9417
347	21429	9360
348	21477	9292
349	21526	9225
350	21588	9164
351	21640	9098
352	21707	9039
353	21758	8973
354	21816	8910
355	21876	8849
356	21944	8790
357	21995	8724
358	22041	8656
359	22094	8592
360	22153	8530
361	22197	8462
362	22261	8401
363	22316	8338
364	22370	8274
365	22426	8210
366	22486	8148
367	22557	8091
368	22624	8031
369	22688	7971
370	22740	7907
371	22805	7847
372	22873	7788
373	22938	7727
374	23007	7669
375	23055	7603
376	23102	7537
377	23153	7472
378	23217	7412
379	23274	7349
380	23332	7287
381	23387	7224
382	23448	7163
383	23519	7104
384	23586	7045
385	23647	6983
386	23719	6925
387	23774	6862
388	23837	6802
389	23891	6738
390	23953	6677
391	24019	6617
392	24087	6558
393	24142	6495
394	24212	6436
395	24267	6373
396	24334	6313
397	24392	6251
398	24453	6189
399	24522	6130
400	24577	6067
401	24625	6003
402	24699	5945
403	24758	5883
404	24812	5820
405	24861	5756
406	24938	5698
407	25004	5638
408	25062	5576
409	25121	5514
410	25179	5452
411	25235	5390
412	25285	5326
413	25352	5266
414	25491	5221
415	25571	5163
416	25641	5103
417	25711	5043
418	25767	4981
419	25841	4922
420	25909	4861
421	25978	4801
422	26040	4740
423	26095	4677
424	26153	4615
425	26220	4554
426	26283	4493
427	26338	4430
428	26399	4369
429	26459	4307
430	26509	4243
431	26565	4181
432	26639	4121
433	26690	4058
434	26748	3996
435	26804	3934
436	26870	3873
437	26950	3814
438	27002	3752
439	27049	3688
440	27095	3625
441	27157	3563
442	27220	3502
443	27285	3441
444	27336	3378
445	27399	3317
446	27463	3256
447	27532	3195
448	27586	3133
449	27656	3072
450	27722	3011
451	27776	2949
452	27833	2887
453	27890	2825
454	27940	2763
455	28008	2702
456	28069	2641
457	28130	2579
458	28195	2518
459	28261	2457
460	28321	2395
461	28389	2335
462	28452	2273
463	28510	2211
464	28564	2150
465	28625	2088
466	28682	2026
467	28743	1965
468	28797	1903
469	28851	1841
470	28920	1780
471	28985	1719
472	29036	1657
473	29096	1596
474	29156	1534
475	29216	1473
476	29268	1411
477	29337	1350
478	29389	1288
479	29447	1226
480	29506	1165
481	29565	1104
482	29619	1042
483	29674	980
484	29736	919
485	29796	858
486	29862	797
487	29913	735
488	29961	673
489	30016	612
490	30068	551
491	30118	489
492	30172	428
493	30238	367
494	30310	306
495	30370	244
496	30445	183
497	30496	122
498	30546	61
499	30611	0
